repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles,n_iterations
9,False,50,100,1.0578807797578171,0.057880779757817136,0.00020901957229370926,0.0176,1.3264787368246007,100,97
0,False,100,25,0.9776092000019783,0.022390799998021738,3.1731854889777118e-06,0.0288,0.948084391064764,25,158
1,False,100,25,1.02323843976557,0.02323843976557005,1.1363368452303157e-05,0.04160000000000001,0.7158308884776154,25,177
2,False,100,25,1.0843446315917238,0.08434463159172378,5.228762410050711e-06,0.0496,0.597841624363745,25,194
3,False,100,25,1.0536950767890434,0.053695076789043394,6.747630571247947e-06,0.049600000000000005,0.5766959343039955,25,190
4,False,100,25,0.9720836729747806,0.0279163270252194,5.693461838085745e-06,0.0208,0.5276978212809218,25,206
5,False,100,25,0.975565587301764,0.024434412698235985,6.1062306299940416e-06,0.04800000000000001,0.5312804408166361,25,210
6,False,100,25,1.0225591233045574,0.02255912330455745,1.237925463584412e-05,0.039999999999999994,0.5672661147832905,25,197
7,False,100,25,1.0700287956731878,0.07002879567318776,2.958492714830581e-06,0.04800000000000001,0.5037638650305181,25,207
8,False,100,25,1.0106427996699727,0.010642799669972725,9.58153903866245e-06,0.027200000000000005,0.5429195803137243,25,200
9,False,100,25,1.1012348015633002,0.10123480156330023,3.7137746690520445e-06,0.03520000000000001,0.5548188300921397,25,202
0,False,100,50,1.093378789668045,0.09337878966804491,7.0196447878868524e-06,0.024000000000000004,0.7668610468163242,50,182
1,False,100,50,1.0648956327810022,0.06489563278100219,4.681985042259057e-06,0.0208,0.588570575336326,50,209
2,False,100,50,0.979641943245615,0.020358056754384957,1.1139295375711652e-05,0.0456,0.601519920367825,50,208
3,False,100,50,1.100344299540957,0.10034429954095692,8.79412876316476e-06,0.0408,0.6348325953041893,50,199
4,False,100,50,1.0388799864417546,0.03887998644175461,4.144804693075604e-06,0.0424,0.5790742493501573,50,212
5,False,100,50,0.9134795638379655,0.08652043616203453,3.4764215779364247e-06,0.0408,0.5347921942427538,50,219
6,False,100,50,1.0871668892175645,0.08716688921756455,1.2612603609182192e-06,0.032,0.7075053068637457,50,198
7,False,100,50,1.0482789725301227,0.0482789725301227,5.507340024475798e-06,0.0496,0.5669523531000825,50,217
8,False,100,50,1.013476429185142,0.013476429185141914,6.036166004123906e-06,0.04080000000000001,0.5704235960567956,50,211
9,False,100,50,1.0623881589404771,0.06238815894047711,5.092581291760889e-06,0.03840000000000001,0.5039541794150013,50,223
0,False,100,100,1.0205634665080785,0.0205634665080785,0.005315851869686141,0.04480000000000001,0.6303654277963398,100,213
1,False,100,100,1.0644502743038915,0.0644502743038915,1.1414288962606567e-05,0.0424,0.4529356053813606,100,254
2,False,100,100,1.0687044931873237,0.06870449318732375,0.0002449588706305579,0.0456,0.5102388653400369,100,232
3,False,100,100,1.0780912270501632,0.07809122705016325,8.030400253187147e-06,0.048,0.454643295345341,100,250
4,False,100,100,1.0495664722375688,0.049566472237568826,8.149250321182701e-06,0.04640000000000002,0.5723855794734642,100,223
5,False,100,100,1.0202064340803105,0.02020643408031053,8.358449733615748e-05,0.045600000000000016,0.5154450215546746,100,233
6,False,100,100,0.9958946792212159,0.004105320778784116,5.024572902752587e-06,0.043600000000000014,0.5106301009797193,100,232
7,False,100,100,0.9743676721459842,0.025632327854015813,0.0001528587192963958,0.04880000000000001,0.5834217440970002,100,221
8,False,100,100,1.01359002005088,0.013590020050880058,7.89583379403987e-06,0.04,0.609842663224565,100,215
9,False,100,100,1.0260123657493763,0.026012365749376265,0.011898306748597438,0.047200000000000006,0.5279756878935158,100,234
