repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
3,False,25,100,1.1862703418817586,0.18627034188175862,0.0317301219834988,0.0425,0.355109421525164,100
4,False,25,100,1.1608835956560386,0.1608835956560386,0.12341664941196033,0.042249999999999996,0.3075953876231069,100
5,False,25,100,1.251242904760213,0.25124290476021294,0.11344528219903893,0.04575,0.3704317609988974,100
6,False,25,100,1.2631076748103924,0.26310767481039243,0.06823926974039549,0.040749999999999995,0.34530019461836836,100
7,False,25,100,1.1517624293834556,0.15176242938345563,0.08390026908280743,0.049,0.29198608967515627,100
8,False,25,100,1.1446058258750136,0.14460582587501358,0.11462633688349823,0.043,0.3406156318997722,100
9,False,25,100,1.2301730162604012,0.2301730162604012,0.019643466714801227,0.0345,0.282681110840874,100
0,False,50,25,1.0535490898123934,0.05354908981239337,5.0402871770107135e-06,0.047000000000000014,0.15228146413656773,25
1,False,50,25,1.1781288199465103,0.1781288199465103,1.3817459534169289e-05,0.038000000000000006,0.1579206558748367,25
2,False,50,25,1.0287725358554727,0.02877253585547268,1.2689552103968864e-05,0.034,0.22462525537852684,25
3,False,50,25,1.2315388634654225,0.23153886346542252,5.226964007128819e-06,0.034,0.17839719024704298,25
4,False,50,25,1.108859246708535,0.10885924670853497,6.236222362333666e-06,0.03300000000000001,0.20744825839078623,25
5,False,50,25,1.240759943725042,0.24075994372504206,0.00040638619877133355,0.043,0.16112793629056033,25
6,False,50,25,1.0918786466476922,0.09187864664769219,1.600995763618083e-05,0.032,0.1603996045250908,25
7,False,50,25,1.1872440772679989,0.18724407726799885,7.67186903432549e-05,0.016,0.24396071138884684,25
8,False,50,25,1.016844277383452,0.016844277383452066,0.021495760745221713,0.035,0.20076368356337032,25
9,False,50,25,1.1736843017841543,0.17368430178415428,3.411061210468109e-05,0.046,0.19975694099883187,25
0,False,50,50,1.252411229029746,0.252411229029746,0.05966693077822244,0.043,0.1598419910032794,50
1,False,50,50,1.2186053538247377,0.21860535382473767,0.0008983963162948648,0.0415,0.17581504994246488,50
2,False,50,50,1.0406962726255393,0.04069627262553932,0.026933022095030016,0.030000000000000006,0.2582421471832844,50
3,False,50,50,1.2096220515830247,0.20962205158302472,0.1073162039214104,0.04750000000000001,0.16988632610573867,50
4,False,50,50,1.1878952763879158,0.1878952763879158,0.00048685387290121754,0.04000000000000001,0.23013110743540321,50
5,False,50,50,1.1444102105271974,0.14441021052719738,3.6688757366355447e-06,0.0495,0.1617686182024192,50
6,False,50,50,1.0937131579221124,0.09371315792211243,0.009317899836429545,0.033499999999999995,0.18051099623009648,50
7,False,50,50,1.2055621068604654,0.2055621068604654,0.038553995069497735,0.04799999999999999,0.14878830373542085,50
8,False,50,50,1.155720102277803,0.15572010227780297,0.010496922876612885,0.04849999999999999,0.17263916540859547,50
9,False,50,50,1.1043333320525595,0.10433333205255946,0.003348389247069901,0.0435,0.17092420933108268,50
0,False,50,100,1.13334665468154,0.13334665468154006,0.04510550928099761,0.04825000000000001,0.1475026283949771,100
1,False,50,100,1.1420254911189112,0.14202549111891116,0.04598291521984542,0.04425,0.1707174617834794,100
2,False,50,100,1.111589304172259,0.1115893041722591,0.06888987920411593,0.04625,0.1597053974364389,100
3,False,50,100,1.181488507461375,0.18148850746137501,0.06296744823297071,0.049249999999999995,0.1622859804147156,100
4,False,50,100,1.2707661700118107,0.2707661700118107,0.12478942452532936,0.04649999999999999,0.21198082081059783,100
5,False,50,100,1.1368466109814426,0.13684661098144257,0.07430946359184655,0.04849999999999999,0.1665835061121022,100
