repeat,seed,alpha,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
6,4,0.8,1.0945354914464258,0.09453549144642581,0.0022533245768619156,0.0392,1.8610965378098536,50
7,4,0.3,1.0758994017144452,0.0758994017144452,3.855327348599542e-06,0.036,1.3282817476635713,50
7,4,0.5,1.0666590829566642,0.06665908295666423,0.0011385278837161927,0.0424,1.7252028305672504,50
7,4,0.8,1.0116852856130483,0.011685285613048269,0.00036984672112368785,0.049600000000000005,2.3690000661446815,50
8,4,0.3,1.0683626745190937,0.06836267451909372,0.00046974632148801064,0.04080000000000001,1.6182813885143839,50
8,4,0.5,1.0587466831777492,0.058746683177749226,0.01507266781252846,0.0408,1.9114288980408896,50
8,4,0.8,0.9742348445009124,0.025765155499087644,0.035786402901931136,0.04880000000000001,2.131964743987213,50
9,4,0.3,1.1043343406122479,0.10433434061224789,4.663204554003841e-06,0.0496,1.3905531858343099,50
9,4,0.5,1.057979352836621,0.057979352836621034,0.0006092533981919556,0.04800000000000001,1.5980733990970264,50
9,4,0.8,1.1037117856052776,0.1037117856052776,0.0017456013617966313,0.046400000000000004,1.90955322815871,50
0,5,0.3,0.9409903043811357,0.059009695618864266,0.00686517719303633,0.036,1.3433091624997866,50
0,5,0.5,1.0168856730818816,0.016885673081881603,0.017482810136366583,0.035199999999999995,1.480484197329358,50
0,5,0.8,1.1135943671977895,0.11359436719778948,0.05047250178665988,0.04080000000000001,1.7993099769899712,50
1,5,0.3,1.0989091339100163,0.09890913391001632,5.430480908436651e-06,0.0328,1.31846287753882,50
1,5,0.5,1.0096646513950491,0.009664651395049129,0.018566615374805827,0.042400000000000014,1.6171496584113454,50
1,5,0.8,1.006841789698224,0.006841789698224021,0.00015561437950745963,0.045600000000000016,2.4062038406473207,50
2,5,0.3,0.9873800931740068,0.012619906825993232,0.01805860005611085,0.0456,1.7578828661459855,50
2,5,0.5,1.0640276608876107,0.0640276608876107,0.031555548922937326,0.03280000000000001,1.8821105791989332,50
2,5,0.8,1.011873788269102,0.011873788269102015,0.03807377114226287,0.0368,2.128840957906138,50
3,5,0.3,0.9960372998400675,0.003962700159932497,0.032963463585556955,0.04880000000000001,1.3331989662614325,50
3,5,0.5,1.0657015888793182,0.0657015888793182,0.0017059536292416129,0.039200000000000006,1.6871847743387784,50
3,5,0.8,1.0518141262637501,0.05181412626375015,0.013131295300680398,0.04480000000000001,1.8337985709582991,50
4,5,0.3,1.1167467971359555,0.11674679713595548,0.001022833511235782,0.04800000000000001,1.6722391443762255,50
4,5,0.5,0.9618650157417227,0.03813498425827733,0.002022099755143794,0.03760000000000001,1.7064634950850517,50
4,5,0.8,1.0077276259892876,0.0077276259892875565,0.01715474735166005,0.04,1.9142551857361885,50
5,5,0.3,1.1580031214183926,0.15800312141839257,5.1232879388010815e-05,0.04080000000000001,1.4837237765493905,50
