seed,repeat,mh_sd,mh_iters,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
7,7,0.1,50,1.188315713271514,0.18831571327151408,0.038030371741888676,0.04040000000000001,0.4793778592531551,50
8,7,0.1,50,0.5799856686768821,0.42001433132311794,0.11981796188109446,0.0412,0.4567572247251136,50
9,7,0.1,50,0.7286136352653655,0.2713863647346345,0.1655833307236416,0.04279999999999999,0.5732175476234302,50
0,8,0.1,50,0.6908945365526502,0.3091054634473498,0.13854107590813233,0.0408,0.36919276146082075,50
1,8,0.1,50,-0.031224185661216864,1.0312241856612168,0.07299418984683417,0.03320000000000001,0.34767069052155725,50
2,8,0.1,50,0.39255508120638133,0.6074449187936186,0.06814293008578014,0.030000000000000006,0.817451368152458,50
3,8,0.1,50,-0.4506536530334846,1.4506536530334846,0.07644701984700283,0.042400000000000014,0.9055615064484115,50
4,8,0.1,50,0.6081719688957062,0.39182803110429376,0.06722412402732729,0.047200000000000006,0.6186801811423044,50
5,8,0.1,50,1.0073675791026864,0.007367579102686372,0.03374095742120893,0.046400000000000004,0.30763239916225993,50
6,8,0.1,50,0.7258409939788515,0.2741590060211485,0.09116361952319485,0.0456,0.5783946064241718,50
7,8,0.1,50,1.0472888065390036,0.04728880653900358,0.15840285297851323,0.046000000000000006,0.3315388254785737,50
8,8,0.1,50,0.48420253926405027,0.5157974607359497,0.0720849060972232,0.030800000000000008,0.44606326782043404,50
9,8,0.1,50,0.38212484745817143,0.6178751525418286,0.05561143892426069,0.049600000000000005,0.5229608934090509,50
0,9,0.1,50,0.33905850335161025,0.6609414966483897,0.23486369266692772,0.04280000000000001,0.43839266521625475,50
1,9,0.1,50,-0.051780837177405406,1.0517808371774053,0.09117963799078267,0.04160000000000001,0.35051745751099506,50
2,9,0.1,50,-0.79124002172535,1.7912400217253501,0.09878641609545388,0.049600000000000005,0.6100979535033362,50
3,9,0.1,50,-0.300854314183872,1.300854314183872,0.7650952762570051,0.0464,0.8527219472885539,50
4,9,0.1,50,0.5137170673232324,0.4862829326767676,0.23466511518724892,0.036000000000000004,0.626779818119855,50
5,9,0.1,50,1.145515240744768,0.14551524074476796,0.2095397544033982,0.0408,0.2926855462624326,50
6,9,0.1,50,0.6394212150989173,0.36057878490108275,0.05303499421201407,0.044800000000000006,0.49944397977010513,50
7,9,0.1,50,0.7404731739003928,0.2595268260996072,0.2814898061613609,0.03800000000000001,0.3291174358258957,50
8,9,0.1,50,0.5080103099522714,0.49198969004772863,0.1814691959314804,0.0476,0.48945026245226075,50
9,9,0.1,50,0.14763008053535487,0.8523699194646451,0.19526834340339722,0.03880000000000001,0.5602345098067578,50
0,0,0.1,100,0.580089791666481,0.419910208333519,0.09264883119282404,0.04800000000000001,0.37403642437548457,50
1,0,0.1,100,-0.6043768053662929,1.604376805366293,0.1335958119948379,0.0386,0.38935483855362746,50
2,0,0.1,100,0.090293591769053,0.909706408230947,0.42230519718497206,0.0452,0.7389269255436364,50
3,0,0.1,100,-0.04817187166950764,1.0481718716695076,0.2053583292371584,0.047200000000000006,0.9012680270832382,50
4,0,0.1,100,0.8330669249974657,0.1669330750025343,0.11690773998986947,0.038000000000000006,0.5427696281648,50
5,0,0.1,100,1.0408801369800436,0.04088013698004356,0.03914298183982325,0.04800000000000001,0.2941492304767681,50
6,0,0.1,100,0.5120535172566828,0.4879464827433172,0.08854671228361644,0.049400000000000006,0.5798743895472556,50
7,0,0.1,100,0.9455126310052953,0.054487368994704743,0.07707016217352751,0.0436,0.35242009875494973,50
8,0,0.1,100,0.5253575052521874,0.4746424947478126,0.12170788366255297,0.047200000000000006,0.5199580691515348,50
9,0,0.1,100,-0.06313132600311631,1.0631313260031163,0.5252496977134924,0.04619999999999999,0.611507989409874,50
0,1,0.1,100,0.7618944120205197,0.23810558797948034,0.11351981673647898,0.031,0.41291126584325444,50
1,1,0.1,100,-0.26091171765108184,1.2609117176510818,0.07138069078229511,0.040600000000000004,0.3770617089399212,50
2,1,0.1,100,0.1989498733403833,0.8010501266596167,0.2886837177287014,0.049400000000000006,0.8131493565846217,50
3,1,0.1,100,0.7511112923989031,0.24888870760109694,0.27816589832901406,0.0328,0.8469570842488447,50
4,1,0.1,100,0.6727930783304036,0.3272069216695964,0.08855805640375754,0.043600000000000014,0.6871260041869738,50
5,1,0.1,100,0.6448069857412481,0.35519301425875194,0.09964379809099011,0.0424,0.33182243787949767,50
6,1,0.1,100,0.8950546361766467,0.10494536382335329,0.10769589148397472,0.047400000000000005,0.586257994122752,50
7,1,0.1,100,0.639532107378364,0.36046789262163603,0.19193338084050568,0.035,0.43978700142825594,50
8,1,0.1,100,0.5252107392361127,0.4747892607638873,0.1995163254067117,0.048600000000000004,0.46340581288720584,50
9,1,0.1,100,0.10347866030224613,0.8965213396977538,0.039871228828521926,0.044400000000000016,0.6309370096561295,50
0,2,0.1,100,0.24422866710226934,0.7557713328977307,0.1505903282214558,0.048999999999999995,0.4099073668229414,50
1,2,0.1,100,-0.11465905799881476,1.1146590579988147,0.09729723290814808,0.035,0.41837170319863365,50
2,2,0.1,100,0.5388412905746263,0.46115870942537374,0.2496675261824097,0.047400000000000005,0.8100922161263382,50
3,2,0.1,100,0.2404670887362652,0.7595329112637348,0.12800092224406082,0.0398,0.8575374511308248,50
4,2,0.1,100,0.3096506766144378,0.6903493233855622,0.3032721326845775,0.046799999999999994,0.7388008331854856,50
5,2,0.1,100,0.6620320238388655,0.3379679761611345,0.1121074271596197,0.0458,0.34087083302881255,50
6,2,0.1,100,1.2138805974149114,0.2138805974149114,0.213369607622285,0.04,0.6369865451099124,50
7,2,0.1,100,0.6967794318005012,0.30322056819949883,0.08631291583980176,0.0492,0.40383297806734586,50
8,2,0.1,100,0.4436765280771675,0.5563234719228325,0.20673834437309274,0.040600000000000004,0.47353096775513537,50
9,2,0.1,100,0.2949361679904912,0.7050638320095088,0.10331338593921804,0.04079999999999999,0.6048519550701008,50
0,3,0.1,100,0.4621102645700183,0.5378897354299816,0.12461971349214704,0.049200000000000015,0.3717162131718923,50
1,3,0.1,100,0.31885650253798703,0.681143497462013,0.29993268901419673,0.027000000000000007,0.43433322225770193,50
2,3,0.1,100,-0.007882723812388014,1.007882723812388,0.1398830889901974,0.0408,0.7583701912682175,50
3,3,0.1,100,-1.0534136149624609,2.053413614962461,0.3043037932584535,0.039,1.0257373689699687,50
4,3,0.1,100,0.9132701726216504,0.08672982737834956,0.1997810915681494,0.027999999999999997,0.5573200583400586,50
5,3,0.1,100,0.44600448517486563,0.5539955148251343,0.09799190244418116,0.03960000000000001,0.3565609858742987,50
6,3,0.1,100,0.8238623407089182,0.17613765929108183,0.15110286272044193,0.042199999999999994,0.5640815798507568,50
7,3,0.1,100,0.7726342925746937,0.22736570742530626,0.11675946804954897,0.04460000000000001,0.3523204000715161,50
8,3,0.1,100,-0.09024108895441624,1.0902410889544163,0.15689119114061717,0.041400000000000006,0.5177810349831866,50
9,3,0.1,100,0.10842285598097393,0.8915771440190261,0.30377075695185995,0.03560000000000001,0.5876201078670185,50
0,4,0.1,100,0.9517530025342912,0.04824699746570882,0.2522285749918263,0.034200000000000015,0.3591954670322083,50
1,4,0.1,100,0.5007318970220436,0.49926810297795643,0.02291942501777182,0.0308,0.6451988100613824,50
2,4,0.1,100,-0.11878694170676146,1.1187869417067615,0.42068550760132145,0.039800000000000016,0.7094682577472535,50
3,4,0.1,100,-0.2821424164229774,1.2821424164229773,0.6991970125702102,0.03960000000000001,0.8553492465895225,50
4,4,0.1,100,0.6044666637764609,0.39553333622353914,0.11950036281411704,0.04060000000000001,0.5413210746364294,50
5,4,0.1,100,0.8532647477381097,0.14673525226189033,0.3851647955677983,0.0456,0.3087736156894029,50
6,4,0.1,100,0.8297065495784323,0.17029345042156774,0.1707986617957657,0.03840000000000001,0.5731411773982513,50
7,4,0.1,100,0.7179963953252765,0.2820036046747235,0.12977489345004628,0.049600000000000005,0.38734832903798205,50
8,4,0.1,100,0.3034694336265301,0.6965305663734699,0.14364847646437856,0.036599999999999994,0.5219274972598996,50
9,4,0.1,100,0.6067346924018469,0.39326530759815315,0.10077172210669001,0.042,0.5565730261896231,50
0,5,0.1,100,0.6432956013059987,0.3567043986940013,0.06946671177654826,0.04500000000000001,0.3318720583040856,50
1,5,0.1,100,0.12445073975036414,0.8755492602496359,0.14521095785833404,0.04680000000000001,0.40496889016811266,50
2,5,0.1,100,-0.25057820507104617,1.2505782050710461,0.37922048810200076,0.0476,0.7700005719780736,50
3,5,0.1,100,-0.006688888640927959,1.006688888640928,0.13577284264814263,0.04920000000000001,0.899814742581488,50
4,5,0.1,100,0.6902270069491966,0.3097729930508034,0.09579368893766263,0.047400000000000005,0.6279414187225816,50
5,5,0.1,100,0.6734104345426813,0.32658956545731865,0.08947228908929863,0.033400000000000006,0.31883068460640773,50
6,5,0.1,100,0.9076958109619682,0.09230418903803184,0.10943942249491095,0.04359999999999999,0.5452632874392283,50
7,5,0.1,100,0.9901059131919324,0.009894086808067581,0.0653223471495903,0.048,0.3311652703970994,50
8,5,0.1,100,0.44676458171954053,0.5532354182804595,0.1884097428451819,0.047599999999999996,0.4706040101464296,50
9,5,0.1,100,0.5834385800186097,0.4165614199813903,0.25789336802952323,0.048400000000000006,0.5900601845159327,50
0,6,0.1,100,0.6661290401433066,0.33387095985669335,0.06210171381844049,0.03420000000000001,0.3759446039538867,50
1,6,0.1,100,-0.4991248009287526,1.4991248009287526,0.10196635763692843,0.03820000000000001,0.3877280469742639,50
2,6,0.1,100,-0.16220328601722045,1.1622032860172204,0.07994645298605378,0.04800000000000001,0.7028439027398714,50
3,6,0.1,100,-1.2530799063829448,2.2530799063829448,0.3036026306303512,0.049800000000000004,1.0754458635963091,50
4,6,0.1,100,0.5129933797978969,0.48700662020210306,0.08406522094898247,0.044400000000000016,0.635125615950634,50
5,6,0.1,100,0.948396799979444,0.05160320002055596,0.1705155828884184,0.048799999999999996,0.29681883663305064,50
6,6,0.1,100,0.9705649882873166,0.029435011712683368,0.06322560436907394,0.04739999999999999,0.5762458602850922,50
