repeat,seed,alternative_tempering,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
5,3,True,1.0333215463441925,0.03332154634419249,0.15193531471706861,0.028800000000000006,0.9991250176890292,50
5,3,False,1.0314880657572134,0.03148806575721341,0.028084218130529158,0.036000000000000004,1.3314271796342818,50
6,3,True,1.0628118959161583,0.06281189591615832,0.10735941835939147,0.020000000000000004,0.9986881811553573,50
6,3,False,0.9500338832828639,0.04996611671713613,0.028746474788502768,0.033600000000000005,1.4840618610142655,50
7,3,True,1.1587022053065474,0.15870220530654744,0.08488311516182273,0.019999999999999997,0.9984782729730651,50
7,3,False,0.985559928024348,0.014440071975652002,0.00018077326481564048,0.0416,1.389622234264081,50
8,3,True,1.2410961865996493,0.24109618659964926,0.14435513890003102,0.016,0.9989441727260884,50
8,3,False,1.0937946700098065,0.09379467000980646,7.742208132035398e-06,0.031200000000000006,1.6413710378517608,50
9,3,True,1.2434874853721556,0.2434874853721556,0.1084796782833703,0.024000000000000004,0.9987934637688523,50
9,3,False,1.0355058029698285,0.035505802969828526,0.0,0.0,0.01,50
0,4,True,1.0813150626647345,0.08131506266473454,0.028933845130684505,0.0048000000000000004,0.9983258240229222,50
0,4,False,1.0505500570903494,0.05055005709034943,5.406426717953544e-06,0.045600000000000016,1.327211983760333,50
1,4,True,1.2313851736419188,0.2313851736419188,0.05380142067626656,0.012000000000000002,0.999302636543896,50
1,4,False,0.9715769431746595,0.02842305682534052,0.0002481989517152232,0.04080000000000001,1.7777490790036228,50
2,4,True,1.0954557742296733,0.09545577422967333,0.17216557708604047,0.0336,0.999151010669926,50
2,4,False,1.1975659728153072,0.1975659728153072,0.007174927095336039,0.0368,1.4514336702930009,50
3,4,True,1.1980206629195087,0.1980206629195087,0.12975413359708868,0.0416,0.9993020639045772,50
3,4,False,1.099775203962698,0.09977520396269801,5.605662409796313e-06,0.046400000000000004,1.4413278352047942,50
4,4,True,1.1509469942211168,0.1509469942211168,0.12500827377159948,0.008,0.9989533610961683,50
4,4,False,1.0983036249532057,0.09830362495320566,1.1746824552846236e-05,0.0424,1.5595934317716504,50
