repeat,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles,n_iterations
7,300,150,1.0192418382480581,0.01924183824805814,0.12427238463657087,0.04800000000000001,0.42173005518187723,100,5
8,300,150,1.025737958094482,0.025737958094482094,0.10642569794527697,0.046799999999999994,0.5235721600551766,100,5
9,300,150,1.0210281634136016,0.021028163413601586,0.10527467000365194,0.047200000000000006,0.32431795025402277,100,5
0,300,300,1.0251583641451227,0.025158364145122736,0.15148524892712723,0.03640000000000001,0.07187500000000001,100,5
1,300,300,1.0238606755571578,0.023860675557157762,0.17575976157831907,0.0464,0.07187500000000001,100,5
2,300,300,1.0237508542708804,0.023750854270880417,0.14628358987972936,0.04920000000000001,0.017734375,100,8
3,300,300,1.021580070156617,0.021580070156616893,0.12255403754331033,0.048000000000000015,0.010060424804687499,100,15
4,300,300,1.0232319801956853,0.023231980195685287,0.14655223097175063,0.047200000000000006,0.025468750000000002,100,7
5,300,300,1.0332284085369512,0.03322840853695119,0.1636772708002653,0.044000000000000004,0.0409375,100,6
6,300,300,1.020374526467163,0.02037452646716309,0.1008513808529769,0.03560000000000001,0.010060424804687499,100,15
7,300,300,1.041027647807217,0.041027647807216905,0.21572738214826043,0.036,0.13375,100,4
8,300,300,1.005319028957218,0.0053190289572180305,0.1901124088197992,0.0344,0.07187500000000001,100,5
9,300,300,1.0261156567218277,0.026115656721827696,0.12152843651023414,0.0484,0.017734375,100,8
